,n=5,n=4,n=3,n=2
"(0,1)",28.266717447475408,28.266717447475408,28.266717447475408,28.266717447475408
"(1,0)",32.88631534203309,32.88631534203309,32.88631534203309,32.88631534203309
"(1,1)",13.802930244649714,13.802930244649714,13.802930244649714,13.802930244649714
"(0,2)",22.825108159646167,22.825108159646167,22.825108159646167,12.568919996222384
"(2,0)",23.550038991694144,23.550038991694144,23.550038991694144,13.15077447518701
"(1,2)",15.83109558785506,15.83109558785506,15.83109558785506,10.520662559929884
"(2,1)",15.325005660869062,15.325005660869062,15.325005660869062,6.835940717542677
"(2,2)",15.230470877674996,15.230470877674996,15.230470877674996,7.3107839666545775
"(0,3)",16.86275665976912,16.86275665976912,13.277421256522926,8.562969491321004
"(3,0)",16.66578577786947,16.66578577786947,13.0165725363247,8.44830009961779
"(1,3)",10.536649933539334,10.536649933539334,7.586247543092128,4.334474568463431
"(3,1)",9.7362308168358,9.7362308168358,5.185904562045829,0.7389021432291254
"(2,3)",10.565027228357593,10.565027228357593,8.599534760078765,3.0894339311746677
"(3,2)",8.775733166074762,8.775733166074762,5.261170354492483,1.4985039596731031
"(3,3)",7.539731844574648,7.539731844574648,4.260904752634643,0.6658842890503891
"(0,4)",11.846878246601488,10.062906605342825,9.576897868144407,5.754025648125527
"(4,0)",10.984740521882408,9.58561785865365,9.307635834462458,5.708456653787786
"(1,4)",8.511662935416853,6.846608589471037,6.71913049751619,4.253531029603785
"(4,1)",7.846648026293279,6.080556141685101,5.729212177928167,2.1077711464379645
"(2,4)",6.783376922018425,5.356213901819141,5.844245107174628,3.1059793588919415
"(4,2)",5.0663623195344005,3.483220779402252,3.688915563947426,2.290914013180212
"(3,4)",5.714722339041744,4.589229975520526,3.3010982515105702,0.9951002057239422
"(4,3)",3.491526286180824,2.166052732738355,2.408073331919358,1.027255290758522
"(4,4)",2.779490315038713,1.0721890959745073,1.7838243665272535,0.7656561026971653
others,4.019112335779351,3.00008420382738,1.3725987892385771,0.2711745308931368
